"school","university"
"ΕΠΙΣΤΗΜΗΣ ΦΥΤΙΚΗΣ ΠΑΡΑΓΩΓΗΣ (ΑΘΗΝΑ)","ΓΕΩΠΟΝΙΚΟ ΠΑΝ."
"ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΘΑΛΑΣΣΑΣ (ΜΥΤΙΛΗΝΗ)","ΠΑΝ.ΑΙΓΑΙΟΥ"
"ΕΦΑΡΜΟΣΜΕΝΩΝ ΜΑΘΗΜΑΤΙΚΩΝ & ΦΥΣΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΑΘΗΝΑ)","ΕΜΠ"
"ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ & ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ (ΑΘΗΝΑ)","ΕΜΠ"
"ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ & ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ & ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ (ΒΟΛΟΣ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ & ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ (ΞΑΝΘΗ)","ΔΠΘ"
"ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ & ΤΕΧΝΟΛΟΓΙΑΣ ΥΠΟΛΟΓΙΣΤΩΝ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΗΛΕΚΤΡΟΝΙΚΩΝ ΜΗΧΑΝΙΚΩΝ & ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ   (ΧΑΝΙΑ)","ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ"
"ΚΙΝΗΜΑΤΟΓΡΑΦΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΜΑΘΗΜΑΤΙΚΩΝ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΜΑΘΗΜΑΤΙΚΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΜΑΘΗΜΑΤΙΚΩΝ (ΙΩΑΝΝΙΝΑ)","ΠΑΝ.ΙΩΑΝΝΙΝΩΝ"
"ΜΑΘΗΜΑΤΙΚΩΝ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΜΑΘΗΜΑΤΙΚΩΝ (ΣΑΜΟΣ) - ΜΑΘΗΜΑΤΙΚΩΝ","ΠΑΝ.ΑΙΓΑΙΟΥ"
"ΜΑΘΗΜΑΤΙΚΩΝ (ΣΑΜΟΣ) - ΣΤΑΤΙΣΤΙΚΗΣ ΚΑΙ ΑΝΑΛΟΓΙΣΤΙΚΩΝ-ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΩΝ ΜΑΘΗΜΑΤΙΚΩΝ","ΠΑΝ.ΑΙΓΑΙΟΥ"
"ΜΑΘΗΜΑΤΙΚΩΝ KAI ΕΦΑΡΜΟΣΜΕΝΩΝ ΜΑΘΗΜΑΤΙΚΩΝ (ΗΡΑΚΛΕΙΟ) - ΕΦΑΡΜΟΣΜΕΝΩΝ ΜΑΘΗΜΑΤΙΚΩΝ","ΠΑΝ.ΚΡΗΤΗΣ"
"ΜΑΘΗΜΑΤΙΚΩΝ KAI ΕΦΑΡΜΟΣΜΕΝΩΝ ΜΑΘΗΜΑΤΙΚΩΝ (ΗΡΑΚΛΕΙΟ) - ΜΑΘΗΜΑΤΙΚΩΝ","ΠΑΝ.ΚΡΗΤΗΣ"
"ΜΕΘΟΔΟΛΟΓΙΑΣ, ΙΣΤΟΡΙΑΣ & ΘΕΩΡΙΑΣ ΤΗΣ ΕΠΙΣΤΗΜΗΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΜΗΧΑΝΙΚΩΝ ΕΠΙΣΤΗΜΗΣ ΥΛΙΚΩΝ (ΙΩΑΝΝΙΝΑ)","ΠΑΝ.ΙΩΑΝΝΙΝΩΝ"
"ΜΗΧΑΝΙΚΩΝ ΗΛΕΚΤΡΟΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ ΚΑΙ ΠΛΗΡΟΦΟΡΙΚΗΣ (ΙΩΑΝΝΙΝΑ)","ΠΑΝ.ΙΩΑΝΝΙΝΩΝ"
"ΜΗΧΑΝΙΚΩΝ ΗΛΕΚΤΡΟΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ ΚΑΙ ΠΛΗΡΟΦΟΡΙΚΗΣ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΜΗΧΑΝΙΚΩΝ ΜΕΤΑΛΛΕΙΩΝ ΜΕΤΑΛΛΟΥΡΓΩΝ (ΑΘΗΝΑ)","ΕΜΠ"
"ΜΗΧΑΝΙΚΩΝ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ (ΧΙΟΣ)","ΠΑΝ.ΑΙΓΑΙΟΥ"
"ΜΗΧΑΝΙΚΩΝ ΟΡΥΚΤΩΝ ΠΟΡΩΝ   (ΧΑΝΙΑ)","ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ"
"ΜΗΧΑΝΙΚΩΝ ΠΑΡΑΓΩΓΗΣ & ΔΙΟΙΚΗΣΗΣ     (ΧΑΝΙΑ)","ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ"
"ΜΗΧΑΝΙΚΩΝ ΠΑΡΑΓΩΓΗΣ & ΔΙΟΙΚΗΣΗΣ (ΞΑΝΘΗ)","ΔΠΘ"
"ΜΗΧΑΝΙΚΩΝ ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΚΟΖΑΝΗ)","ΠΑΝ. ΔΥΤ.ΜΑΚ"
"ΜΗΧΑΝΙΚΩΝ ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΞΑΝΘΗ)","ΔΠΘ"
"ΜΗΧΑΝΙΚΩΝ ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΧΑΝΙΑ)","ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ"
"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΑΚΩΝ & ΕΠΙΚΟΙΝΩΝΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ (ΣΑΜΟΣ)","ΠΑΝ.ΑΙΓΑΙΟΥ"
"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ & ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ (ΚΟΖΑΝΗ)","ΠΑΝ. ΔΥΤ.ΜΑΚ."
"ΜΗΧΑΝΙΚΩΝ ΣΧΕΔΙΑΣΗΣ ΠΡΟΪΟΝΤΩΝ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ (ΣΥΡΟΣ)","ΠΑΝ.ΑΙΓΑΙΟΥ"
"ΜΗΧΑΝΙΚΩΝ ΧΩΡΟΤΑΞΙΑΣ & ΑΝΑΠΤΥΞΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΜΗΧΑΝΙΚΩΝ ΧΩΡΟΤΑΞΙΑΣ, ΠΟΛΕΟΔΟΜΙΑΣ ΚΑΙ ΠΕΡΙΦΕΡΕΙΑΚΗΣ ΑΝΑΠΤΥΞΗΣ (ΒΟΛΟΣ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΜΗΧΑΝΟΛΟΓΩΝ & ΑΕΡΟΝΑΥΠΗΓΩΝ ΜΗΧΑΝΙΚΩΝ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΜΗΧΑΝΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ (ΑΘΗΝΑ)","ΕΜΠ"
"ΜΗΧΑΝΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ (ΒΟΛΟΣ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΜΗΧΑΝΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΜΗΧΑΝΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ (ΚΟΖΑΝΗ)","ΠΑΝ. ΔΥΤ.ΜΑΚ."
"ΜΟΥΣΙΚΗΣ ΕΠΙΣΤΗΜΗΣ & ΤΕΧΝΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΠΑΝ.ΜΑΚΕΔ."
"ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ (ΚΕΡΚΥΡΑ)","ΙΟΝΙΟ ΠΑΝ/ΜΙΟ"
"ΝΑΥΠΗΓΩΝ ΜΗΧΑΝΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ (ΑΘΗΝΑ)","ΕΜΠ"
"ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΜΥΤΙΛΗΝΗ)","ΠΑΝ.ΑΙΓΑΙΟΥ"
"ΠΛΑΣΤΙΚΩΝ ΤΕΧΝΩΝ & ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΤΕΧΝΗΣ (ΙΩΑΝΝΙΝΑ)","ΠΑΝ.ΙΩΑΝΝΙΝΩΝ"
"ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ (ΤΡΙΠΟΛΗ)","ΠΑΝ.ΠΕΛ/ΝΗΣΟΥ"
"ΠΛΗΡΟΦΟΡΙΚΗΣ ΜΕ ΕΦΑΡΜΟΓΕΣ ΣΤΗ ΒΙΟΙΑΤΡΙΚΗ (ΛΑΜΙΑ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΠΟΛΙΤΙΚΩΝ ΜΗΧΑΝΙΚΩΝ (ΑΘΗΝΑ)","ΕΜΠ"
"ΠΟΛΙΤΙΚΩΝ ΜΗΧΑΝΙΚΩΝ (ΒΟΛΟΣ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΠΟΛΙΤΙΚΩΝ ΜΗΧΑΝΙΚΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΠΟΛΙΤΙΚΩΝ ΜΗΧΑΝΙΚΩΝ (ΞΑΝΘΗ)","ΔΠΘ"
"ΠΟΛΙΤΙΚΩΝ ΜΗΧΑΝΙΚΩΝ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΤΕΧΝΩΝ ΗΧΟΥ & ΕΙΚΟΝΑΣ (ΚΕΡΚΥΡΑ)","ΙΟΝΙΟ ΠΑΝ/ΜΙΟ"
"ΦΥΣΙΚΗΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΦΥΣΙΚΗΣ (ΗΡΑΚΛΕΙΟ)","ΠΑΝ.ΚΡΗΤΗΣ"
"ΦΥΣΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΦΥΣΙΚΗΣ (ΙΩΑΝΝΙΝΑ)","ΠΑΝ.ΙΩΑΝΝΙΝΩΝ"
"ΦΥΣΙΚΗΣ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΧΗΜΕΙΑΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΧΗΜΕΙΑΣ (ΗΡΑΚΛΕΙΟ)","ΠΑΝ.ΚΡΗΤΗΣ"
"ΧΗΜΕΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΧΗΜΕΙΑΣ (ΙΩΑΝΝΙΝΑ)","ΠΑΝ.ΙΩΑΝΝΙΝΩΝ"
"ΧΗΜΕΙΑΣ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΧΗΜΙΚΩΝ ΜΗΧΑΝΙΚΩΝ (ΑΘΗΝΑ)","ΕΜΠ"
"ΧΗΜΙΚΩΝ ΜΗΧΑΝΙΚΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΧΗΜΙΚΩΝ ΜΗΧΑΝΙΚΩΝ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
,
"ΣΤΡΑΤΙΩΤΙΚΕΣ ΣΧΟΛΕΣ"," "
"ΕΥΕΛΠΙΔΩΝ (ΣΣΕ) – ΟΠΛΑ                    ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΕΥΕΛΠΙΔΩΝ (ΣΣΕ) – ΣΩΜΑΤΑ                      ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΙΚΑΡΩΝ (ΣΙ) ΕΛΕΓΚΤΕΣ ΑΕΡΑΜΥΝΑΣ          ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΙΚΑΡΩΝ (ΣΙ) ΙΠΤΑΜΕΝΟΙ                            ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΙΚΑΡΩΝ (ΣΙ) ΜΗΧΑΝΙΚΟΙ (ΣΜΑ)                        ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΙΠΤΑΜΕΝΩΝ ΡΑΔΙΟΝΑΥΤΙΛΩΝ (ΣΙΡ)                        ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΜΟΝΙΜΩΝ ΥΠΑΞΙΩΜΑΤΙΚΩΝ ΝΑΥΤΙΚΟΥ (Σ.Μ.Υ.Ν.)        ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΜΟΝΙΜΩΝ ΥΠΑΞΙΩΜΑΤΙΚΩΝ ΣΤΡΑΤΟΥ (Σ.Μ.Υ.) – ΟΠΛΑ  ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΜΟΝΙΜΩΝ ΥΠΑΞΙΩΜΑΤΙΚΩΝ ΣΤΡΑΤΟΥ (Σ.Μ.Υ.) – ΣΩΜΑΤΑ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΝΑΥΤΙΚΩΝ ΔΟΚΙΜΩΝ (ΣΝΔ) ΜΑΧΙΜΟΙ            ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΝΑΥΤΙΚΩΝ ΔΟΚΙΜΩΝ (ΣΝΔ) ΜΗΧΑΝΙΚΟΙ      ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΤΕΧΝΙΚΩΝ ΥΠΑΞΙΩΜΑΤΙΚΩΝ ΑΕΡΟΠΟΡΙΑΣ (Σ.Τ.Υ.Α.)    ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
"ΥΠΑΞΙΩΜΑΤΙΚΩΝ ΔΙΟΙΚ. ΑΕΡΟΠΟΡΙΑΣ (ΣΥΔ)      ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
,
"ΑΚΑΔΗΜΙΕΣ ΕΜΠΟΡΙΚΟΥ ΝΑΥΤΙΚΟΥ","  "
"ΣΧΟΛΗ ΜΗΧΑΝΙΚΩΝ      ","Α.Ε.Ν."
"ΣΧΟΛΗ ΠΛΟΙΑΡΧΩΝ      ","Α.Ε.Ν."
,
"ΑΝΩΤΑΤΕΣ ΕΚΚΛΗΣΙΑΣΤΙΚΕΣ ΑΚΑΔΗΜΙΕΣ","  "
"ΠΡΟΓΡΑΜΜΑ ΔΙΑΧΕΙΡΙΣΗΣ ΕΚΚΛΗΣΙΑΣΤΙΚΩΝ ΚΕΙΜΗΛΙΩΝ ΑΘΗΝΑΣ","ΑΕΑ ΑΘΗΝΑΣ"
"ΠΡΟΓΡΑΜΜΑ ΔΙΑΧΕΙΡΙΣΗΣ ΕΚΚΛΗΣΙΑΣΤΙΚΩΝ ΚΕΙΜΗΛΙΩΝ ΘΕΣ/ΝΙΚΗΣ","ΑΕΑ ΘΕΣ/ΝΙΚΗΣ"
,
"ΑΣΤΥΝΟΜΙΚΕΣ ΣΧΟΛΕΣ"," "
"ΑΞΙΩΜΑΤΙΚΩΝ ΕΛΛΗΝΙΚΗΣ ΑΣΤΥΝΟΜΙΑΣ                ","ΑΣΤ.ΣΧΟΛΕΣ"
"ΑΣΤΥΦΥΛΑΚΩΝ                                                                       ","ΑΣΤ.ΣΧΟΛΕΣ"
,
"ΣΧΟΛΕΣ ΠΥΡΟΣΒΕΣΤΙΚΗΣ ΑΚΑΔΗΜΙΑΣ","  "
"ΣΧΟΛΗ ΑΝΘΥΠΟΠΥΡΑΓΩΝ          ","Σ.Π.Α."
"ΣΧΟΛΗ ΠΥΡΟΣΒΕΣΤΩΝ          ","Σ.Π.Α."
,
"ΤΕΙ","  "
"ΓΡΑΦΙΣΤΙΚΗΣ (ΑΘΗΝΑ) - ΓΡΑΦΙΣΤΙΚΗΣ","ΤΕΙ ΑΘΗΝΑΣ"
"ΓΡΑΦΙΣΤΙΚΗΣ (ΑΘΗΝΑ) - ΤΕΧΝΟΛΟΓΙΑΣ ΓΡΑΦΙΚΩΝ ΤΕΧΝΩΝ","ΤΕΙ ΑΘΗΝΑΣ"
"ΔΑΣΟΠΟΝΙΑΣ & ΔΙΑΧΕΙΡΙΣΗΣ ΦΥΣΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΔΡΑΜΑ)","ΤΕΙ ΑΝ.ΜΑΚ.ΘΡΑΚΗΣ"
"ΔΑΣΟΠΟΝΙΑΣ & ΔΙΑΧΕΙΡΙΣΗΣ ΦΥΣΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΚΑΡΠΕΝΗΣΙ)","ΤΕΙ ΣΤ.ΕΛΛΑΔΑΣ"
"ΕΣΩΤΕΡΙΚΗΣ ΑΡΧΙΤΕΚΤΟΝΙΚΗΣ, ΔΙΑΚΟΣΜΗΣΗΣ ΚΑΙ ΣΧΕΔΙΑΣΜΟΥ ΑΝΤΙΚΕΙΜΕΝΩΝ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΤΕ (ΗΡΑΚΛΕΙΟ)","ΤΕΙ ΚΡΗΤΗΣ"
"ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΤΕ (ΚΑΒΑΛΑ)","ΤΕΙ ΑΝ.ΜΑΚ.ΘΡΑΚΗΣ"
"ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΤΕ (ΚΟΖΑΝΗ)","ΤΕΙ ΔΥΤ.ΜΑΚ."
"ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΤΕ (ΛΑΡΙΣΑ)","ΤΕΙ ΘΕΣΣΑΛΙΑΣ"
"ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΤΕ (ΠΑΤΡΑ)","ΤΕΙ ΔΥΤ.ΕΛΛΑΔΑΣ"
