"school","university"
"ΑΓΓΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΑΓΓΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΑΡΧΕΙΟΝΟΜΙΑΣ, ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ ΚΑΙ ΜΟΥΣΕΙΟΛΟΓΙΑΣ (ΚΕΡΚΥΡΑ)","ΙΟΝΙΟ ΠΑΝ/ΜΙΟ"
"ΒΑΛΚΑΝΙΚΩΝ, ΣΛΑΒΙΚΩΝ ΚΑΙ ΑΝΑΤΟΛΙΚΩΝ ΣΠΟΥΔΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΠΑΝ.ΜΑΚΕΔ."
"ΓΑΛΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΓΑΛΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΓΕΡΜΑΝΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΓΕΡΜΑΝΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΓΛΩΣΣΑΣ, ΦΙΛΟΛΟΓΙΑΣ & ΠΟΛΙΤΙΣΜΟΥ ΠΑΡΕΥΞΕΙΝΙΩΝ ΧΩΡΩΝ (ΚΟΜΟΤΗΝΗ)","ΔΠΘ"
"ΔΗΜΟΣΙΟΓΡΑΦΙΑΣ & ΜΕΣΩΝ ΜΑΖΙΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΔΙΑΧΕΙΡΙΣΗΣ ΠΟΛΙΤΙΣΜΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ & ΝΕΩΝ ΤΕΧΝΟΛΟΓΙΩΝ (ΑΓΡΙΝΙΟ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΔΙΕΘΝΩΝ & ΕΥΡΩΠΑΪΚΩΝ ΣΠΟΥΔΩΝ (ΠΕΙΡΑΙΑΣ)","ΠΑΝ.ΠΕΙΡΑΙΑ"
"ΔΙΕΘΝΩΝ, ΕΥΡΩΠΑΪΚΩΝ ΚΑΙ ΠΕΡΙΦΕΡΕΙΑΚΩΝ ΣΠΟΥΔΩΝ (ΑΘΗΝΑ)","ΠΑΝΤΕΙΟ"
"ΕΚΠΑΙΔΕΥΤΙΚΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΠΟΛΙΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΠΑΝ.ΜΑΚΕΔ."
"ΕΛΛΗΝΙΚΗΣ ΦΙΛΟΛΟΓΙΑΣ (ΚΟΜΟΤΗΝΗ)","ΔΠΘ"
"ΕΠΙΚΟΙΝΩΝΙΑΣ & ΜΕΣΩΝ ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΕΠΙΚΟΙΝΩΝΙΑΣ, ΜΕΣΩΝ ΚΑΙ ΠΟΛΙΤΙΣΜΟΥ (ΑΘΗΝΑ)","ΠΑΝΤΕΙΟ"
"ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΚΟΜΟΤΗΝΗ)","ΔΠΘ"
"ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΣΕΡΡΕΣ)","ΑΠΘ"
"ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΤΡΙΚΑΛΑ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΘΕΑΤΡΙΚΩΝ ΣΠΟΥΔΩΝ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΘΕΑΤΡΙΚΩΝ ΣΠΟΥΔΩΝ (ΝΑΥΠΛΙΟ)","ΠΑΝ.ΠΕΛ/ΝΗΣΟΥ"
"ΘΕΑΤΡΙΚΩΝ ΣΠΟΥΔΩΝ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΘΕΑΤΡΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
